"BirdSpecies",y.1969,y.1970,y.1971,y.1972,y.1973,y.1974,y.1975,y.1976,y.1977,y.1978,y.1979,y.1980,y.1981,y.1982,y.1983,y.1984,y.1985,y.1986,y.1987,y.1988,y.1989,y.1990,y.1991,y.1992,y.1993,y.1994,y.1995,y.1996,y.1997,y.1998,y.1999,y.2000,y.2001,y.2002,y.2003,y.2004,y.2005,y.2006,y.2007,y.2008,y.2009,y.2010,y.2011,y.2012,y.2013,y.2014,y.2015,y.2016,y.2017,y.2018
"Ruffed Grouse",0,0,0,0,0,0,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t,0,0,2,1,t,0,0,0,0,0,0,t,0,1,1,t,t,t,0,0,0,t,2,t,t,1.5
"Ruby-throated  Hummingbird",1,t,t,2,1,4,2,0,0,1,1,1,1,1,1,1,3,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,3,4,1,3,1,2,4
"Pileated Woodpecker",t,t,t,t,t,t,t,0,t,t,0,t,0,0,t,0,0,t,0,0,t,t,0,t,0,0,t,0,0,t,0,t,t,t,0,t,0,t,t,t,t,t,t,t,t,t,t,t,1,0.5
"Yellow-bellied Sapsucker",6,3,4,4,4,3,5,5,5,3,4,2,2.5,2,2,2,1,2,2,1,1.5,3,2,3,1,2.5,2,2,3,2,1.5,3,3,2,4,4,5,2,4,3.5,3.5,4.5,3,5.5,4,4,5,6.5,4.5,4.5
"Hairy Woodpecker",2,1,1,2,2,1,2,2,3,2,3,2,2,3,0.5,1,2,1.5,1.5,1.5,1,1,2,2,1,1,2,2,1,t,2.5,2,2,1,3,2,2.5,3,4,2.5,2.5,2.5,3,4.5,4,2,2,4,2.5,2.5
"Downy Woodpecker",6,3,3,2,2,2,3,2.5,3,3.5,2,4,t,1,3,1.5,2,0,t,1.5,2,t,1.5,2,t,2.5,t,t,1,t,1,t,0,t,2,2,1,2,t,t,0,3,2,t,2,2,t,t,0,2
"Least Flycatcher",26,28,43,49.5,57,26,30,28,34,22,22,15,1,0,0,t,0,0,0,6,0,0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eastern Wood Pewee",1,0,1,0,t,t,t,0,0,t,t,t,2,0,0,t,t,t,0,t,0,t,1,1,1,1,t,0,0,0,0,0,t,0,0,0,0,0,t,0,0,0,t,2,2,t,1.5,2,2,4
"Blue Jay",t,t,t,t,0,t,0,t,0,t,t,1,1.5,t,t,t,t,t,t,0.5,t,t,t,t,t,t,t,1,t,t,0,0,0,0,t,t,1,t,1,t,t,t,0.5,t,1,t,2,2,t,0.5
"Black-capped Chickadee",4,1,0.5,0.5,t,1,1,t,2,t,0,2,1,t,0,t,1,0,t,t,2,2,1,3,2,2,2,t,2,1,3.5,t,t,t,2,1,2,4,3,0,0.5,t,t,t,2.5,4,3.5,1,2,2
"Brown Creeper",2,0,0.5,t,0.5,1,0,0,0,0,0,2,t,0,0,0,0,0.5,0,0.5,0,2.5,2,0.5,0,1.5,0,1,0,2,0,2,2,2,t,t,0,2,1,t,0,4,t,0,t,0,2,0,2,3
"White-breasted Nuthatch",8,2,2,2,1,1,1.5,1.5,3,2.5,1,2,3,2,1.5,2.5,2,1,1,1,2,3,1.5,2,2,1,t,3,1.5,t,2,2,1,2,2,t,0,2,2,t,0.5,t,0.5,t,t,0.5,3,3,2,t
"Red-breasted Nuthatch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t,t,0,0,0,0,0,0,0,0,0,0,t,0,0,0,0,0,0,0,1,2,1,0,1
"Winter Wren",1,0.5,1.5,0.5,3,6,2,5,1,0,0,1,0.5,0,0,0,0,0,0.5,1,1,2,3,1,t,1,t,1.5,0,4,1,1,t,1,0,3,2,1.5,1,2.5,0,1,3,0,3.5,0.5,t,1,2.5,1
"American Robin",0,0.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wood Thrush",7,6,9,7,4,5,6.5,5,9,7,7,3,0.5,2,2,1,1,1.5,0,t,1,1,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hermit Thrush",6,8,7,7,4,2,7.5,5,4,1.5,0,2,1,1,2,3.5,2,2,2,4,4,5,2,5,3,3.5,2,5,1,3,3,3,4.5,3,4.5,3,4.5,6.5,4.5,4.5,6.5,5.5,4,7,6.5,6,6.5,5,7.5,7
Veery,2,2,5,2,1,0.5,2.5,2.5,3,4,3,1,2,3,2,2,4.5,2.5,1.5,1.5,0.5,2,2.5,6,3.5,4,3,3,2.5,2,2.5,0,t,t,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Swainson's Thrush",9,8,11,11,9,6.5,8,7,4,5,7,3,2,1,2,2,4,1.5,2,2,2,3.5,2.5,3.5,2.5,0,0,0.5,2,0,0,0,4,t,t,t,t,0,t,2,2,3,2,1,2,2,2,t,3,2
"Philadelphia Vireo",4,7,5,8,4,4,3.5,3.5,2,3,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue-headed Vireo",0,0,0,0.5,1,1,t,0.5,4,3,t,0,0,0,0,0,0.5,0,0.5,0,0,t,2.5,2,2,1,0,0,0,0,3,1.5,3.5,0,3,t,t,3,2,4,2.5,t,0.5,0,1,t,2,t,3,3
"Red-eyed Vireo",20,24,29,22,26,23,31,30,23.5,20,16,13,26,23,22,20.5,21.5,22,19.5,22,22.5,24,25.5,15,16.5,18.5,18,19,22,17,23.5,28,29,19,21,21,24.5,22,19,19.5,27,23.5,22,24,28,31,30,32,28.5,28
"Black and White Warbler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,t,t,0,2.5,0,t,0,t
"Black-throated Green Warbler",8,9,12,7,6,10,8,8,7,7.5,9,10,9,8.5,11,7,15,8.5,12,17,15.5,17.5,13.5,18,17.5,13.5,14,16,8.5,11,12.5,15.5,13.5,16,13,13.5,13,17.5,16,15.5,24.5,20.5,18.5,16.5,17.5,18.5,17,18.5,11,16
"Black-throated Blue Warbler",4,8,11,9,11,11,12,11,12,10.5,14.5,8,12,14,13.5,9.5,8.5,10.5,11.5,9,15,16,13.5,15,11,7,10,5.5,8.5,8.5,11,10.5,9,9,7.5,6,8,10,10.5,5,6.5,7.5,5,10,8,10,5.5,5,6,4.5
"Yellow-rumped Warbler",0,0,0,1,0,0,0,0,0,0,1,t,0,1,0,0,3,1.5,0,2.5,2,2,2,3,t,0,0,2,2.5,0,0,2,4,2,2,0,2,4.5,2,0.5,0,2.5,1,2,9,4.5,2,4,2.5,1
"Blackburnian Warbler",2,5.5,4,7,4,6,6,2,3,1,1,2,3.5,4.5,2,1,0.5,2,0,t,2,1,2.5,3,t,0,0,3.5,4,0,0,2,4,3,3,2,4,2,2,2,2,4,4,4,5,2.5,4.5,4,5,4.5
Ovenbird,6,6,9,9,11,10,18,18.5,9,13,12,10,10,11,13.5,11,10,16,15.5,21.5,16,20,17.5,15.5,13.5,9,11,12,10.5,9,4,7.5,7,7.5,8,8,15.5,15,20,21,21.5,17,18,12.5,12,12.5,12.5,17,12.5,17
"American Redstart",12,26,29,29,26,22,39,42,44,32.5,36,34.5,22,32,30,14,27,13,11,13.5,5.5,18.5,14,19,13,7.5,2,10.5,10.5,10,9.5,7.5,4,2,7,2,1,2,2,3,0.5,t,0,2,0,0,0,t,0,t
