BirdSpecies,y.1986,y.1987,y.1988,y.1989,y.1990,y.1991,y.1992,y.1993,y.1994,y.1995,y.1996,y.1997,y.1998,y.1999,y.2000
Ruffed Grouse,0.0,0.0,0.0,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruby-thr. Hummingbird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pileated Woodpecker,t,0.0,0.0,t,0.0,t,t,t,0.0,t,t,0.0,0.0,0.0,0.5
Yellow-b.Sapsucker,0.0,0.0,0.5,2.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0
Hairy Woodpecker,2.0,1.5,1.0,3.0,1.5,2.0,2.0,1.5,0.5,1.5,1.0,1.5,t,1.5,2.0
Downy Woodpecker,1.0,2.0,1.0,2.0,1.5,2.0,1.0,1.0,t,2.0,1.0,1.0,2.0,0.5,t
Least Flycatcher,0.0,0.0,6.5,5.5,6.0,0.0,t,4.0,0.0,0.0,0.0,0.0,0.0,0.0,t
Wood Pewee,1.0,0.5,2.0,1.0,1.0,2.5,1.5,1.0,t,2.0,2.0,t,0.0,3.0,0.0
Blue Jay,0.0,t,t,0.0,t,t,t,t,t,t,t,t,1.0,1.0,t
Black-c. Chickadee,1.5,0.0,0.0,2.5,2.5,1.5,2.5,1.0,2.0,1.0,t,4.0,3.0,4.0,1.0
Brown Creeper,0.0,0.0,1.0,t,t,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,t
White-br. Nuthatch,2.0,0.5,1.0,1.5,1.0,1.5,2.0,2.0,t,0.0,0.0,2.0,t,2.0,t
Red-br. Nuthatch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter Wren,0.5,0.5,4.0,1.5,2.5,2.5,1.5,0.5,1.0,0.0,1.0,0.0,2.0,0.0,2.5
Wood Thrush,0.0,0.5,0.0,0.0,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,t,0.0
Hermit Thrush,t,2.5,1.5,3.0,2.5,1.5,4.5,1.0,0.5,2.0,2.0,2.5,2.5,2.5,3.5
Veery,t,0.0,0.5,3.0,1.5,2.5,3.5,4.5,3.5,3.0,1.0,t,0.0,0.0,0.0
Swainson's Thrush,1.0,0.0,0.0,0.0,0.0,t,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Solitary Vireo,0.0,0.5,0.0,t,t,t,t,t,0.5,0.0,0.5,0.0,0.0,1.0,0.0
Red-eyed Vireo,21.0,15.5,21.0,21.5,19.5,23.5,19.5,24.5,18.0,17.0,15.0,22.5,21.0,19.5,25.0
Blk. & Wh. Warbler,0.0,0.0,t,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bk.-thr. Green Warbler,8.0,8.5,11.0,17.0,11.0,9.0,9.5,8.5,5.5,8.5,11.0,7.0,6.0,11.5,12.5
Bk.-thr. Blue Warbler,2.0,2.0,5.0,8.0,8.0,6.0,4.0,9.0,8.0,9.5,7.5,10.0,8.0,14.5,12.0
Yellow-r. Warbler,1.0,0.0,0.0,0.0,2.0,2.0,t,t,0.0,0.0,1.0,1.0,2.5,0.0,0.0
Blackburnian Warbler,0.5,1.0,t,0.0,1.0,2.0,t,t,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Chestnut-sided Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovenbird,10.0,12.0,21.5,29.0,25.5,21.0,19.5,18.0,12.0,11.0,13.0,15.0,13.5,11.5,14.0
American Redstart,15.0,12.5,12.0,13.0,19.5,9.0,10.0,9.5,4.5,6.0,8.0,4.0,5.0,2.5,6.0
Canada Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scarlet Tanager,6.5,1.5,3.0,2.5,3.5,2.5,5.5,2.0,3.0,4.0,3.0,4.0,2.5,2.5,4.5
Rose-br. Grosbeak,3.5,3.0,3.0,3.0,2.5,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.5,2.0,2.0
Evening Grosbeak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dark-eyed Junco,0.0,0.0,t,t,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purple Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
