BirdSpecies,y.1986,y.1987,y.1988,y.1989,y.1990,y.1991,y.1992,y.1993,y.1994,y.1995,y.1996,y.1997,y.1998,y.1999,y.2000
Ruffed Grouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruby-thr. Hummingbird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pileated Woodpecker,t,0.0,0.0,t,0.0,0.0,0.0,t,t,0.0,0.0,0.0,0.0,0.0,0.0
Yellow-b.Sapsucker,1.5,1.0,t,2.0,t,2.5,2.0,0.0,0.0,t,0.5,1.0,1.0,2.0,1.0
Hairy Woodpecker,2.0,1.0,1.0,1.5,3.0,2.0,1.0,2.5,1.5,1.0,1.0,1.0,1.5,2.5,0.5
Downy Woodpecker,0.0,2.0,t,2.0,t,0.0,0.5,1.0,0.0,0.0,0.5,0.0,1.0,1.5,1.0
Least Flycatcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acadian Flycatcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,0.0,0.0,0.0,0.0
Wood Pewee,0.0,0.0,1.0,2.0,0.0,0.0,0.0,t,1.0,2.0,t,2.0,0.0,0.5,2.0
Blue Jay,t,0.5,1.0,t,t,1.0,t,t,t,0.0,t,t,0.0,t,t
Black-c. Chickadee,0.0,1.0,t,1.5,2.0,1.5,4.0,t,3.0,0.0,2.0,1.5,2.0,2.5,2.0
Brown Creeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,0.0,2.0,1.0,1.0
White-br. Nuthatch,1.0,2.0,t,1.0,1.5,2.0,2.0,1.0,0.5,0.0,0.0,1.0,0.0,t,0.5
Red-br. Nuthatch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter Wren,0.5,1.5,0.0,t,2.0,2.0,1.5,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0
Wood Thrush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hermit Thrush,t,1.5,1.5,2.0,1.5,1.5,3.5,2.5,1.0,2.0,1.0,2.0,2.5,4.0,2.0
Veery,1.0,0.0,0.0,3.0,2.0,2.0,1.5,t,t,t,0.0,0.0,0.0,0.0,0.0
Swainson's Thrush,0.0,1.0,0.5,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Solitary Vireo,1.0,t,t,2.0,t,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Red-eyed Vireo,23.0,16.5,17.0,15.5,18.0,19.0,13.5,16.5,14.0,18.0,15.0,19.5,16.0,27.0,25.0
Blk. & Wh. Warbler,t,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bk.-thr. Green Warbler,7.0,7.0,10.5,8.0,9.0,8.0,10.0,12.5,7.0,5.0,8.0,4.5,11.0,16.5,20.5
Bk.-thr. Blue Warbler,2.0,4.0,5.5,10.5,6.5,6.0,5.5,7.5,7.0,8.0,6.0,6.0,5.5,11.5,15.0
Yellow-r. Warbler,t,0.0,0.0,t,2.0,0.0,1.0,t,0.0,0.0,0.0,1.5,0.0,1.0,t
Blackburnian Warbler,t,0.0,0.0,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t
Chestnut-sided Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovenbird,9.0,15.5,13.5,16.5,19.0,12.5,19.5,17.5,9.0,14.5,18.0,10.5,18.5,14.0,14.5
American Redstart,12.5,11.5,13.0,14.5,19.0,7.0,9.0,6.0,0.0,8.5,0.0,0.0,6.0,0.0,2.0
Canada Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scarlet Tanager,1.0,3.0,2.5,3.5,3.0,1.5,3.0,2.0,4.0,1.0,1.0,2.0,2.0,3.5,3.0
Rose-br. Grosbeak,3.0,2.5,1.5,2.0,2.5,2.0,2.0,1.0,2.0,2.0,0.0,t,t,t,0.5
Evening Grosbeak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dark-eyed Junco,0.0,0.0,t,0.0,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purple Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
