"Survey Year","Trip identifier","Vessel name","Trip start date","Trip end date","GMA","PFMA","Set number","Set date","Start latitude","Start longitude","End latitude","End longitude","Bottom depth (m)","Tow duration (min)","Distance towed (m)","Vessel speed (m/min)","Trawl door spread (m)","Trawl mouth opening height (m)"
2004,"54080","W. E. RICKER","2004-05-25","2004-06-10","03","121","1","2004-05-26","48.534000","-124.884333","48.545666","-124.867833","89.000000",22,"1700.000","98.33530","64.30","4.1"
2004,"54080","W. E. RICKER","2004-05-25","2004-06-10","03","121","2","2004-05-26","48.618833","-125.077500","48.603500","-125.061666","86.500000",19,"2000.000","98.33530","64.30","4.1"
2004,"54080","W. E. RICKER","2004-05-25","2004-06-10","03","121","3","2004-05-26","48.607833","-125.120000","48.606333","-125.144333","99.500000",16,"1800.000","93.33520","64.30",NA
2004,"54080","W. E. RICKER","2004-05-25","2004-06-10","03","123","4","2004-05-26","48.681666","-125.192833","48.693500","-125.206166","73.500000",16,"1600.000","93.33520","64.30",NA
2004,"54080","W. E. RICKER","2004-05-25","2004-06-10","03","123","5","2004-05-27","48.221833","-125.836166","48.217666","-125.814166","462.500000",22,"1600.000","93.33520","64.30",NA
2004,"54080","W. E. RICKER","2004-05-25","2004-06-10","03","123","6","2004-05-27","48.307333","-125.795166","48.316333","-125.815666","170.500000",15,"1800.000","93.33520","64.30",NA
2004,"54080","W. E. RICKER","2004-05-25","2004-06-10","03","121","7","2004-05-27","48.290166","-125.638333","48.280166","-125.660166","139.500000",20,"1900.000","105.00210","64.30",NA
2004,"54080","W. E. RICKER","2004-05-25","2004-06-10","03","123","9","2004-05-27","48.360000","-125.702166","48.373666","-125.697833","142.000000",17,"1500.000","101.66870","64.30",NA
2004,"54080","W. E. RICKER","2004-05-25","2004-06-10","03","123","10","2004-05-27","48.364500","-125.794000","48.375833","-125.813833","143.000000",20,"1900.000","93.33520","64.30",NA
2004,"54080","W. E. RICKER","2004-05-25","2004-06-10","03","123","11","2004-05-27","48.315000","-125.911333","48.308500","-125.932333","319.000000",20,"1700.000","95.00190","64.30",NA
2004,"54080","W. E. RICKER","2004-05-25","2004-06-10","03","123","12","2004-05-27","48.373000","-125.956333","48.362333","-125.969666","547.500000",20,"1500.000","76.66820","64.30",NA
2004,"54080","W. E. RICKER","2004-05-25","2004-06-10","03","123","13","2004-05-27","48.425166","-126.137000","48.439833","-126.147000","281.000000",20,"1700.000","90.00180","64.30",NA
2004,"54080","W. E. RICKER","2004-05-25","2004-06-10","03","123","14","2004-05-28","48.732333","-125.814666","48.734833","-125.794000","117.500000",20,"1500.000","76.66820","64.30",NA
2004,"54080","W. E. RICKER","2004-05-25","2004-06-10","03","123","15","2004-05-28","48.657000","-125.864000","48.674333","-125.862500","70.500000",19,"1900.000","101.66870","64.30",NA
