"site_id","year","month","day","location","salt","temp","salmon_captured","salmon_examined","pink_examined","chum_examined","sockeye_examined","morts_recovery","morts_other","P_ratio","C_ratio","latitude","longitude","bycatch","notes"
1,2001,6,12,"Burdwood",NA,NA,NA,18,18,0,0,NA,NA,NA,NA,"","","",""
2,2001,6,13,"Wicklow",NA,NA,NA,10,10,0,0,NA,NA,NA,NA,"","","",""
3,2001,6,16,"Glacier",NA,NA,NA,77,77,0,0,NA,NA,NA,NA,"","","",""
4,2001,6,23,"Burdwood",NA,NA,NA,11,11,0,0,NA,NA,NA,NA,"","","",""
5,2001,6,24,"Burdwood",NA,NA,NA,12,12,0,0,NA,NA,NA,NA,"","","",""
6,2001,6,25,"Burdwood",NA,NA,NA,5,5,0,0,NA,NA,NA,NA,"","","",""
7,2001,6,26,"Glacier",NA,NA,NA,8,8,0,0,NA,NA,NA,NA,"","","",""
8,2001,6,28,"Glacier",NA,11.94,NA,76,76,0,0,NA,NA,NA,NA,"","","",""
9,2001,6,29,"Burdwood",NA,13.28,NA,12,12,0,0,NA,NA,NA,NA,"","","",""
10,2001,6,30,"Burdwood",NA,13.28,NA,3,3,0,0,NA,NA,NA,NA,"","","",""
11,2001,7,13,"Burdwood",NA,NA,NA,2,2,0,0,NA,NA,NA,NA,"","","",""
12,2001,7,15,"Glacier",NA,11.94,NA,1,1,0,0,NA,NA,NA,NA,"","","",""
13,2001,7,16,"Burdwood",NA,NA,NA,1,1,0,0,NA,NA,NA,NA,"","","",""
14,2001,7,29,"Wicklow",NA,12.05,NA,23,23,0,0,NA,NA,NA,NA,"","","",""
15,2001,8,15,"Wicklow",NA,10.28,NA,7,7,0,0,NA,NA,NA,NA,"","","",""
16,2001,8,16,"Wicklow",NA,10.28,NA,2,2,0,0,NA,NA,NA,NA,"","","",""
17,2002,4,18,"Burdwood",30,9.8,NA,11,5,6,0,NA,NA,NA,NA,"","","",""
18,2002,4,18,"Glacier",31,9.8,NA,1,0,1,0,NA,NA,NA,NA,"","","",""
19,2002,4,18,"Wicklow",32,10,NA,5,5,0,0,NA,NA,NA,NA,"","","",""
20,2002,4,19,"Burdwood",30,9.8,NA,9,8,1,0,NA,NA,NA,NA,"","","",""
21,2002,4,19,"Glacier",31,8.7,NA,20,20,0,0,NA,NA,NA,NA,"","","",""
22,2002,4,19,"Wicklow",30,8.9,NA,13,12,1,0,NA,NA,NA,NA,"","","",""
23,2002,4,25,"Glacier",28,8.7,NA,20,16,4,0,NA,NA,NA,NA,"","","",""
24,2002,4,26,"Burdwood",27,9.4,NA,22,18,4,0,NA,NA,NA,NA,"","","",""
25,2002,4,26,"Wicklow",32,9.1,NA,21,20,1,0,NA,NA,NA,NA,"","","",""
26,2002,5,1,"Glacier",30,10.1,NA,21,19,2,0,NA,NA,NA,NA,"","","",""
27,2002,5,3,"Burdwood",25,11,NA,22,22,0,0,NA,NA,NA,NA,"","","",""
28,2002,5,3,"Wicklow",32,10.4,NA,19,19,0,0,NA,NA,NA,NA,"","","",""
